id_original;dimensao;subdimensao;rubrica_numero;rubrica_nome;tipo_faixa;faixa_total_min;faixa_total_max;subfaixa_min;subfaixa_max
1;Dimensão pedagógica;Planejamento pedagógico;1;Sensibilização;Consolidar;0;9;0;5
2;Dimensão pedagógica;Planejamento pedagógico;1;Sensibilização;Avançar;0;9;6;9
3;Dimensão pedagógica;Planejamento pedagógico;2;Exploração;Consolidar;10;21;10;16
4;Dimensão pedagógica;Planejamento pedagógico;2;Exploração;Avançar;10;21;17;21
5;Dimensão pedagógica;Planejamento pedagógico;3;Liderança Estratégica;Consolidar;22;36;22;30
6;Dimensão pedagógica;Planejamento pedagógico;3;Liderança Estratégica;Avançar;22;36;31;36
7;Dimensão pedagógica;Planejamento pedagógico;4;Transformação cultural;Consolidar;37;51;37;51
8;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;1;Sensibilização;Consolidar;0;6;0;3
9;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;1;Sensibilização;Avançar;0;6;4;6
10;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;2;Exploração;Consolidar;7;15;7;11
11;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;2;Exploração;Avançar;7;15;11;15
12;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;3;Liderança Estratégica;Consolidar;16;30;16;23
13;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;3;Liderança Estratégica;Avançar;16;30;23;30
14;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;4;Transformação Cultural;Consolidar;31;36;31;36
15;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;1;Sensibilização;Consolidar;0;9;0;5
16;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;1;Sensibilização;Avançar;0;9;6;9
17;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;2;Exploração;Consolidar;10;27;10;19
18;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;2;Exploração;Avançar;10;27;20;27
19;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;3;Liderança Estratégica;Consolidar;28;42;28;36
20;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;3;Liderança Estratégica;Avançar;28;42;37;42
21;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;4;Transformação Cultural;Consolidar;42;48;42;48
22;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;1;Sensibilização;Consolidar;0;6;0;3
23;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;1;Sensibilização;Avançar;0;6;4;6
24;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;2;Exploração;Consolidar;7;21;7;14
25;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;2;Exploração;Avançar;7;21;15;21
26;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;3;Liderança Estratégica;Consolidar;22;39;22;31
27;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;3;Liderança Estratégica;Avançar;22;39;32;39
28;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;4;Transformação Cultural;Consolidar;40;45;40;45
29;Dimensão pedagógica;Desenvolvimento profissional docente;1;Sensibilização;Consolidar;0;9;0;4
30;Dimensão pedagógica;Desenvolvimento profissional docente;1;Sensibilização;Avançar;0;9;5;9
31;Dimensão pedagógica;Desenvolvimento profissional docente;2;Exploração;Consolidar;10;18;10;14
32;Dimensão pedagógica;Desenvolvimento profissional docente;2;Exploração;Avançar;10;18;15;18
33;Dimensão pedagógica;Desenvolvimento profissional docente;3;Liderança Estratégica;Consolidar;19;33;19;26
34;Dimensão pedagógica;Desenvolvimento profissional docente;3;Liderança Estratégica;Avançar;19;33;27;33
35;Dimensão pedagógica;Desenvolvimento profissional docente;4;Transformação Cultural;Consolidar;34;48;34;48
36;Dimensão pessoal-relacional;Convivência no ambiente escolar;1;Sensibilização;Consolidar;0;9;0;4
37;Dimensão pessoal-relacional;Convivência no ambiente escolar;1;Sensibilização;Avançar;0;9;5;9
38;Dimensão pessoal-relacional;Convivência no ambiente escolar;2;Exploração;Consolidar;10;21;10;16
39;Dimensão pessoal-relacional;Convivência no ambiente escolar;2;Exploração;Avançar;10;21;17;21
40;Dimensão pessoal-relacional;Convivência no ambiente escolar;3;Liderança;Consolidar;22;36;22;29
41;Dimensão pessoal-relacional;Convivência no ambiente escolar;4;Liderança ;Avançar;22;36;30;36
42;Dimensão pessoal-relacional;Convivência no ambiente escolar;1;Transformação Cultural;Consolidar;37;45;37;45
