rubrica;nivel;pontos_fortes;avancar;formativas;dimensao;subdimensao;arquivo_origem
Rubrica 1 - Sensibilização;Consolidar;Você está construindo a base necessária para garantir o uso dos dados avaliativos como ferramentas importantes na gestão para aprendizagem!;Para consolidar este nível, você pode fortalecer o registro sistemático dos dados e começar a explorar como usá-los em discussões com a equipe escolar. Também será importante refletir mais sobre como as avaliações podem ser melhor conectadas ao planejamento pedagógico, incluindo o planejamento das ações de recomposição das aprendizagens. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Conceitos Fundamentais de Avaliação**:
    *   Diferenças entre avaliação externa e interna; somativa e formativa.
    *   Potencial das avaliações para subsidiar o planejamento pedagógico, incluindo estratégias de recomposição das aprendizagens.
2.  **Ciclo de uso dos dados de avaliação da aprendizagem**:
    *   Compreensão inicial das etapas de planejamento, aplicação, registro e organização de dados de avaliação de aprendizagem.";pedag;monitoriamento;3_Devolutiva_dim_pedag_monitoriamento.md
Rubrica 1 - Sensibilização;Avançar;Muito bem! Você já se sente preparado para garantir a realização de avaliações externas e internas, assegurando que essas práticas ocorram conforme o planejado. Além disso, percebe-se capacitado para assegurar o registro dos resultados, criando as condições iniciais para seu uso no planejamento escolar.;Neste momento, você utiliza as informações avaliativas de forma ainda reativa e pontual, com foco principalmente somativo, para atender demandas administrativas. Para avançar, será importante explorar como esses dados podem ser melhor integrados ao planejamento pedagógico, incluindo as ações de recomposição das aprendizagens, superando uma abordagem desvinculada e reativa, bem como priorizando também a reflexão e discussão sobre avaliações internas de caráter mais formativo. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Leitura e Interpretação Básica de Dados (competência analítica)**:

*   Capacitação inicial em leitura de relatórios de avaliação.

1.  **Aprofundamento em Avaliação Formativa**:

*   Maior aprofundamento conceitual em avaliação formativa

1.  **Sensibilização da Equipe Escolar**:
    *   Estratégias para promover o uso das avaliações como meio para aprendizagem (combate ao uso da avaliação como controle, recompensa ou punição)";pedag;monitoriamento;3_Devolutiva_dim_pedag_monitoriamento.md
Rubrica 2 - Exploração;Consolidar;Você se sente preparado(a) para explorar práticas importantes, como divulgar os resultados das avaliações e incentivar ajustes no planejamento pedagógico!;Para consolidar este nível, será importante fortalecer suas práticas de mediação, promovendo discussões mais estruturadas com a equipe escolar e incentivando o uso dos dados para identificar áreas prioritárias de intervenção, incluindo ações de recomposição das aprendizagens. Além disso, você pode começar a sensibilizar sua equipe para o maior uso de práticas avaliativas formativas. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Leitura e Interpretação Básica de Dados (competência analítica)**:

*   Capacitação inicial em leitura de relatórios de avaliação.

1.  **Aprofundamento em Avaliação Formativa**:

*   Maior aprofundamento conceitual em avaliação formativa

1.  **Promovendo Discussões Pedagógicas**:

*   Estruturar reuniões com professores baseadas em dados de avaliação de aprendizagem para planejamento.

1.  **Sensibilização da Equipe Escolar**:

*   Estratégias para promover o uso das avaliações como meio para aprendizagem (combate ao uso da avaliação como controle, recompensa ou punição)";pedag;monitoriamento;3_Devolutiva_dim_pedag_monitoriamento.md
Rubrica 2 - Exploração;Avançar;Muito bem! Você se sente preparado(a) para atuar de forma ativa na mediação do uso dos dados avaliativos, promovendo discussões estruturadas com a equipe escolar e conectando os resultados a ajustes básicos no planejamento pedagógico. Já se percebe capacitado(a) para divulgar os resultados das avaliações externas, relacionando-os às metas da secretaria, e utilizar os dados para identificar prioridades pedagógicas gerais para a escola. Além disso, você se avalia apto(a) a incentivar práticas de avaliação formativa e sensibilizar a equipe sobre o propósito das avaliações como ferramentas de melhoria da aprendizagem, evitando seu uso como punição ou recompensa.;Para avançar, será essencial desenvolver práticas mais sistemáticas e aprofundar a integração entre as avaliações (somativas e formativas, internas e externas) e o planejamento pedagógico. Apoiar a equipe na experimentação de estratégias pedagógicas de diferenciação do ensino e de recomposição das aprendizagens também pode contribuir para uma abordagem mais intencional e equitativa na melhoria da aprendizagem. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Integração dos diversos tipos de avaliações ao Planejamento Pedagógico**:

*   Uso integrado de avaliações internas e externas, somativas e formativas, para estabelecer metas internas e fazer planejamento pedagógico.

1.  **Diversificação de fontes de dados**

*   Combinar dados de avaliações externas, internas e observações de sala de aula para identificar de padrões de ensino e aprendizagem e enriquecer os diagnósticos.

1.  **Estratégias Pedagógicas de diferenciação do ensino e de recomposição das aprendizagens:**

*   Planejamento e implementação de práticas pedagógicas de diferenciação do ensino e recomposição de aprendizagens com base em dados de avaliação";pedag;monitoriamento;3_Devolutiva_dim_pedag_monitoriamento.md
Rubrica 3 - Liderança estratégica;Consolidar;Você está no caminho certo. Já se sente preparado(a) para liderar práticas que integram dados ao planejamento pedagógico e facilitar análises para identificar padrões de ensino e aprendizagem.;Para consolidar este nível, será importante fortalecer a triangulação de diferentes fontes de dados (como avaliações e observações de sala de aula) para identificar padrões de ensino e aprendizagem e engajar a equipe na implementação de estratégias de diferenciação do ensino e de recomposição das aprendizagens com foco na equidade. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Integração dos diversos tipos de avaliações ao Planejamento Pedagógico**:

*   Uso integrado de avaliações internas e externas, somativas e formativas, para estabelecer metas internas e fazer planejamento pedagógico.

1.  **Diversificação de fontes de dados**

*   Combinar dados de avaliações externas, internas e observações de sala de aula para identificar de padrões de ensino e aprendizagem e enriquecer os diagnósticos.

1.  **Estratégias Pedagógicas de diferenciação do ensino e de recomposição das aprendizagens:**

*   Planejamento e implementação de práticas pedagógicas de diferenciação do ensino e recomposição de aprendizagens com base em dados de avaliação.";pedag;monitoriamento;3_Devolutiva_dim_pedag_monitoriamento.md
Rubrica 3 - Liderança estratégica;Avançar;"*   Parabéns! Você já se sente preparado(a) para liderar o uso sistemático dos dados avaliativos, integrando avaliações externas e internas ao planejamento pedagógico e

conectando essas práticas às metas internas da escola. Já se percebe capacitado(a) para facilitar a triangulação de diferentes fontes de dados, como avaliações e observações de sala de aula, para identificar padrões de ensino e aprendizagem. Também se avalia capaz de orientar a equipe na proposição de estratégias pedagógicas diferenciadas, ajustadas às necessidades específicas de cada grupo de estudantes, incluindo estratégias de recomposição das aprendizagens, e promover a equidade e o fortalecimento do currículo escolar.";Embora suas práticas já sejam sistemáticas, você pode avançar ao consolidar processos sustentáveis e inovadores e fomentar uma maior autonomia da equipe na análise e no uso de dados. Promover maior inovação e expandir a colaboração para envolver toda a comunidade escolar no uso dos dados são passos importantes para alcançar uma transformação cultural. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Sustentabilidade e Inovação**:

*   Sustentação de mecanismos colaborativos de monitoramento e ajuste contínuos para fomento de uma cultura de melhoria contínua no longo prazo
*   Distribuição da liderança e fortalecimento da corresponsabilidade dos professores na análise e uso de dados avaliativos

1.  **Mobilização da Comunidade Escolar**:

*   Papel da avaliação na relação com as famílias
*   Estratégias para engajar professores, estudantes e famílias no acompanhamento dos resultados e fomentar uma cultura de colaboração e melhoria contínua.
*   Sensibilização da comunidade sobre a necessidade de abordar defasagens de anos anteriores sem estigmatizar os estudantes (recomposição de aprendizagens).

1.  **Avaliação da aprendizagem para promover a mudança de práticas: Desenvolvimento Profissional Docente**

*   Uso de dados de aprendizagem para identificar necessidades de formação, promover ciclos de reflexão e alavancar a qualidade da educação.";pedag;monitoriamento;3_Devolutiva_dim_pedag_monitoriamento.md
Rubrica 4 - Transformação Cultural;Consolidar;Parabéns! Você se sente preparado(a) para promover uma cultura escolar em que o uso de dados avaliativos é integrado e colaborativo. Já se percebe capaz de mobilizar professores, estudantes e famílias em reflexões contínuas e na tomada de decisões pedagógicas. Você já se percebe preparado para garantir estratégias diferenciadas de ensino que atendam às necessidades de grupos de estudantes em diferentes níveis de aprendizagem, incluindo ações e de recomposição de aprendizagens, promovendo equidade e impacto. Você também se percebe capacitado para sustentar essas práticas, identificando áreas de desenvolvimento docente e promovendo ciclos de formação continuada.;Você já demonstra um forte compromisso com a colaboração e a mobilização da comunidade escolar no uso de dados avaliativos. Para consolidar este nível, será importante estruturar sistemas que garantam a regularidade no monitoramento e na avaliação das intervenções. Também será necessário fortalecer as práticas de formação docente baseadas em dados, promovendo ciclos continuados de reflexão e aprendizado colaborativo. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Sustentabilidade e Inovação**:

*   Sustentação de mecanismos colaborativos de monitoramento e ajuste contínuos para fomento de uma cultura de melhoria contínua no longo prazo
*   Distribuição da liderança e fortalecimento da corresponsabilidade dos professores na análise e uso de dados avaliativos

1.  **Mobilização da Comunidade Escolar**:

*   Papel da avaliação na relação com as famílias
*   Estratégias para engajar professores, estudantes e famílias no acompanhamento dos resultados e fomentar uma cultura de colaboração e melhoria contínua.
*   Sensibilização da comunidade sobre a necessidade de abordar defasagens de anos anteriores sem estigmatizar os estudantes (recomposição de aprendizagens).

1.  **Avaliação da aprendizagem para promover a mudança de práticas: Desenvolvimento Profissional Docente**

*   Uso de dados de aprendizagem para identificar necessidades de formação, promover ciclos de reflexão e alavancar a qualidade da educação.";pedag;monitoriamento;3_Devolutiva_dim_pedag_monitoriamento.md
Rubrica 1 - Sensibilização;Consolidar;;;"Conceitos e Fundamentos do Desenvolvimento Profissional Docente

*   Definição e importância do Desenvolvimento Profissional Docente
*   A escola como lócus de desenvolvimento profissional
*   O papel da liderança no Desenvolvimento Profissional Docente (papeis e responsabilidades)

Acompanhamento e Apoio Individual aos Professores

*   Introdução a estratégias de “indução” (inserção profissional de professores novatos), contemplando acolhimento afetivo, integração profissional e desenvolvimento de competências";pedag;desenvolvimento;5_Devolutiva_dim_pedag_desenvolvimento.md
Rubrica 1 - Sensibilização;Avançar;;;"Diagnóstico das Necessidades Formativas dos Professores

*   Compreensão sobre o que constitui um diagnóstico de necessidades formativas eficaz e sua relevância para o desenvolvimento docente.
*   Análise de dados de aprendizagem dos estudantes para identificar lacunas formativas dos professores

Planejamento e Promoção de Ações de Desenvolvimento Profissional

*   Conhecimento sobre práticas de formação como grupos de estudo, oficinas pedagógicas, encontros reflexivos e mentorias.

Fomento à Colaboração e Aprendizagem Coletiva

*   Mediação de discussões pedagógicas colaborativas, promovendo trocas de experiências e cocriação de soluções educacionais.

Acompanhamento e Apoio Individual aos Professores

*   Técnicas de observação de aula com foco formativo e feedback construtivo.";pedag;desenvolvimento;5_Devolutiva_dim_pedag_desenvolvimento.md
Rubrica 2 - Exploração;Consolidar;;;"Diagnóstico das Necessidades Formativas dos Professores

*   Compreensão sobre o que constitui um diagnóstico de necessidades formativas eficaz e sua relevância para o desenvolvimento docente.
*   Análise de dados de aprendizagem dos estudantes para identificar lacunas formativas dos professores

Planejamento e Promoção de Ações de Desenvolvimento Profissional

*   Conhecimento sobre práticas de formação como grupos de estudo, oficinas pedagógicas, encontros reflexivos e mentorias.

Fomento à Colaboração e Aprendizagem Coletiva

*   Mediação de discussões pedagógicas colaborativas, promovendo trocas de experiências e cocriação de soluções educacionais.

Acompanhamento e Apoio Individual aos Professores

*   Técnicas de observação de aula com foco formativo e feedback construtivo.";pedag;desenvolvimento;5_Devolutiva_dim_pedag_desenvolvimento.md
